Name,Link
Обелиск у Кутузовской избы,https://um.mos.ru/monuments/obelisk-u-kutuzovskoy-izby/
Памятник А.Н. Радищеву,https://um.mos.ru/monuments/pamyatnik-a-n-radishchevu/
Памятный знак рабочим Черемушкинского кирпичного завода,https://um.mos.ru/monuments/pamyatnyy-znak-rabochim-cheremushkinskogo-kirpichnogo-zavoda/
Памятник Ф.М. Достоевскому у РГБ,https://um.mos.ru/monuments/pamyatnik-f-m-dostoevskomu-u-rgb/
Памятник солдату Отечества ХХ века,https://um.mos.ru/monuments/pamyatnik-soldatu-otechestva-khkh-veka/
Памятник И.А. Бунину,https://um.mos.ru/monuments/i-a-buninu/
"Памятник пчеле, или Гимн труду",https://um.mos.ru/monuments/pamyatnik-pchele-ili-gimn-trudu/
Памятник Н.К. Крупской,https://um.mos.ru/monuments/pamyatnik-n-k-krupskoy/
Ежи. Монумент защитникам г. Москвы,https://um.mos.ru/monuments/ezhi-monument-zashchitnikam-g-moskvy/
Александр Пушкин и Наталья Гончарова,https://um.mos.ru/monuments/aleksandr-pushkin-i-natalya-goncharova/
Водолаз-Маяк,https://um.mos.ru/monuments/vololaz-mayak/
50-летию Стахановского движения,https://um.mos.ru/monuments/50-letiyu-stakhanovskogo-dvizheniya/
Булыжник — оружие пролетариата!,https://um.mos.ru/monuments/bulyzhnik-oruzhie-proletariata/
Скамья примирения,https://um.mos.ru/monuments/skamya-primireniya/
Памятник Ф.И. Шаляпину,https://um.mos.ru/monuments/f-i-shalyapinu/
Кот с сарделькой,https://um.mos.ru/monuments/kot-s-sardelkoy/
"Памятник ученикам, погибшим на войне",https://um.mos.ru/monuments/pamyatnik-uchenikam-pogibshim-na-voyne/
Памятник первопечатнику Ивану Федорову,https://um.mos.ru/monuments/pamyatnik-pervopechatniku-ivanu-fedorovu/
Фонтан «Дружба народов»,https://um.mos.ru/monuments/fontan-druzhba-narodov/
Грот «Руины»,https://um.mos.ru/monuments/grot-ruiny/
Место гибели В. П. Чкалова,https://um.mos.ru/monuments/mesto-gibeli-v-p-chkalova/
Памятник полководцу П. И. Багратиону,https://um.mos.ru/monuments/pamyatnik-polkovodtsu-p-i-bagrationu/
Памятник Н.В. Гоголю,https://um.mos.ru/monuments/pamyatnik-n-v-gogolyu/
Памятник студенческим приметам,https://um.mos.ru/monuments/pamyatnik-studencheskim-primetam/
Парящие в Ясенево (Дельтапланеризм),https://um.mos.ru/monuments/paryashchie-v-yasenevo-deltaplanerizm/
Памятник Щусеву А.В.,https://um.mos.ru/monuments/pamyatnik-shchusevu-a-v/
Царство мельника Хапило,https://um.mos.ru/monuments/tsarstvo-melnika-khapilo/
Памятник Сергию Радонежскому,https://um.mos.ru/monuments/pamyatnik-sergiyu-radonezhskomu-13621/
Памятник Мигелю де Сервантесу Сааведра,https://um.mos.ru/monuments/pamyatnik-migelyu-de-servantesu-saavedra/
